 * Story Progression:
 * FFX.exe+84949C

Prog	|	Trigger
405		|	Enter Besaid Aurochs cutscene
406		|	Enter Luca Goers cutscene
417		|	Enter cutscene after megaphone ("What in Yevon's name where you doing up there")
425		|	Gain control in Luca
427		|	Enter Seymour cutscene
430		|	Enter Blitzball tutorial screen
435		|	Enter Yuna cutscene outside cabin
440		|	Gain control in basement
450		|	Leave basement
455		|	Gain control on Bridge after whistle cutscene
484		|	Enter Mika cutscene
485		|	Enter blitzball sphere FMV
488		|	Enter Kimahri cutscene
490		|	Enter Lulu cutscene
492		|	Gain control on Bridge
500		|	Enter Cutscene after Blitzball cutscene ("Still in there!")
502		|	Enter salvage ship cutscene
508		|	Enter Wakka scores cutscene
512		|	Enter Yuna/Lulu cutscene
514		|	Gain control
518		|	Gain control in basement
520		|	Enter Lulu/Wakka cutscne
525		|	Enter Besaid Aurochs / Tidus cutscene
527		|	Enter Lulu/Wakka second cutscene
530		|	Enter stadium cutscene
535		|	Enter blitzball sphere cutscene
540		|	Enter Wakka cutscene (halftime)
560		|	Enter team setup
565		|	Enter stadium cutscene ("Wakka")
570		|	Enter blitzball sphere cutscene (Tidus leaves)
575		|	Enter blitzball sphere cutscene (Wakka joins)
582		|	Enter postgame cutscene
583		|	Savegame prompt
588		|	Lulu cutscene
600		|	Auron FMV
610		|	Savegame prompt
614		|	Enter Wakka/Yuna cutscene
616		|	Enter Auron/Tidus cutscene
617		|	Gain control after Auron/Tidus cutscene
630		|	Gain control after Auron/Yuna cutscene
730		|	Enter Mi'ihen Highroad cutscene
734		|	Gain conrol on Mi'ihen Highroad cutscene
750		|	Enter Tidus sleeping cutscene
755		|	Gain control in Inn
760		|	Gain control in Inn in the morning
762		|	Gain control after talking to the boy
767		|	Gain control after talking to Rin
770		|	Start Chocobo Eater fight
772		|	Gain control on old road
777		|	Gain control on North End
787		|	Gain control after Seymour cutscene
802		|	Gain control on Mushroom Rock
808		|	Clasko cutscene when he says "take that road"
815		|	Gain control after Clasko cutscene
825		|	Gain control after Wakka/Machina cutscene
830		|	Enter Sinspawn cutscene
835		|	Gain control on Ridge
840		|	Enter Auron/Kinoc Cutscene
845		|	Gain control in command center
850		|	Enter sinspawn cutscene
857		|	Start Gui battle
